Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
17:09.4,-4.687846851,6.715735657,4.819527942,41.8778626,-31.19083969,-25.02290076,23.09
17:09.5,-4.015076184,7.630320691,4.781220715,33.60305344,-22.89312977,-41.36641221,23.09
17:09.6,-4.865017773,6.495469104,4.29759198,41.95419847,-26.45801527,-36.77099237,23.09
17:09.7,-5.128379956,6.679822632,3.124433167,48,-47.4351145,-46.22900763,23.09
17:09.8,-7.781155396,8.06127699,2.753331909,71.63358779,-76.15267176,-20.74045802,23.11
17:10.0,-5.961562134,7.31189187,2.087743848,59.13740458,-100.1755725,-43.71755725,23.11
17:10.1,-6.138733057,6.519411121,2.42293208,37.32061069,-90.20610687,-26.15267176,23.09
17:10.2,-5.056553906,8.06127699,2.767697119,24.42748092,-95.70229008,-20.46564885,23.11
17:10.3,-2.434903088,9.825803613,4.041412402,31.44274809,15.70229008,-0.091603053,23.13
17:10.4,-1.637633936,8.441955054,3.495534424,3.167938931,-22.23664122,-24.41984733,23.09
17:10.6,-2.370259644,6.969521033,3.385401147,0.473282443,103.9312977,27.98473282,23.07
17:10.7,-4.611232397,6.586448767,3.457227197,3.328244275,-76.72519084,5.801526718,23.09
17:10.8,-3.936067529,8.717288245,1.307234106,40.16793893,-33.17557252,49.64122137,23.09
17:10.9,-4.161122485,10.28549033,0.902614026,41.67175573,-89.36641221,44.90839695,23.11
17:11.1,-3.193865015,8.947131604,1.26892688,32.84732824,-66.57251908,-15.76335878,23.09
17:11.2,-2.813186951,13.64694946,0.670376465,21.00763359,-82.52671756,-19.90839695,23.11
17:11.3,-2.384624854,7.666233716,0.876277808,34.13740458,-76.95419847,-77.53435115,23.09
17:11.4,-0.77811554,8.856151941,1.233013855,37.47328244,-93,-50.16030534,23.09
17:11.5,-2.446874097,8.178592871,1.977610571,39.89312977,-95,-27.84732824,23.09
17:11.7,-2.042254016,10.02452235,2.085349646,23.09160305,-31.40458015,13.36641221,23.09
17:11.8,-1.71664259,10.46266125,0.268150586,-12.0610687,-34.6259542,17.19083969,23.09
17:11.9,-3.330334509,8.923189587,-0.366312854,-9.450381679,30.69465649,7.610687023,23.09
17:12.0,-3.268085266,10.77151327,1.323993518,13.86259542,5.824427481,-2.198473282,23.09
17:12.2,-2.95683905,8.228871106,3.22977804,-6.893129771,-6.129770992,-19.00763359,23.09
17:12.3,-2.329558215,8.178592871,3.165134595,-28.49618321,24.70229008,1.65648855,23.13
17:12.4,-2.798821741,8.820238916,2.080561243,-26.70992366,47.57251908,41.26717557,23.09
17:12.5,-3.12922157,9.533711011,2.145204687,-32.79389313,20.29770992,1.465648855,23.11
17:12.6,-2.772485522,5.612008691,2.286462585,-8.312977099,47.57251908,33.54198473,23.09
17:12.8,-4.659116431,8.757989673,1.783680237,11.18320611,-93.78625954,29.24427481,23.09
17:12.9,-2.865859387,9.406818323,2.636016028,13.66412214,-38.07633588,-65.90076336,23.11
17:13.0,-2.995146277,9.270348828,3.184288208,-2.519083969,-13.89312977,-90.24427481,23.11
17:13.1,-1.781286035,8.125920435,2.97120426,6.671755725,-36.65648855,-57.84732824,23.09
17:13.2,-2.401384265,8.161833459,4.199429712,0.961832061,-20.80916031,-2.061068702,23.11
17:13.4,-2.231395947,7.757213379,4.158728284,0.122137405,29.94656489,34.30534351,23.11
17:13.5,-3.24414325,7.635109094,3.361459131,3.824427481,12.01526718,28.6870229,23.15
17:13.6,-3.912125513,7.517793213,2.906560815,15.17557252,1.847328244,38.19847328,23.11
17:13.7,-3.64876333,8.829815723,2.324769812,-0.305343511,27.40458015,11.77862595,23.15
17:13.8,-3.646369128,9.239224207,2.260126367,9.267175573,14.6259542,-2.969465649,23.13
17:14.0,-3.177105603,8.010998755,1.766920825,21.13740458,-41.67175573,-0.580152672,23.13
17:14.1,-2.427720483,9.083601099,1.22583125,26.97709924,-14.80916031,-10.05343511,23.13
17:14.2,-2.806004346,9.993397729,1.589749902,9.396946565,-18.19847328,1.809160305,23.15
17:14.3,-3.14358678,9.533711011,1.386242761,-4.519083969,24.35877863,2.916030534,23.15
17:14.4,-2.128445276,9.141061938,1.177947217,-29.29007634,31.93129771,-2.381679389,23.11
17:14.6,-3.428496777,9.789890588,0.811634363,-32.3740458,38.71755725,1.679389313,23.13
17:14.7,-2.652775439,8.887276563,1.352723938,-7.832061069,42.10687023,15.99236641,23.13
17:14.8,-4.24013114,8.60954917,2.707842078,-8.65648855,-0.480916031,10.25954198,23.15
17:14.9,-3.397372156,8.341398584,3.05739552,-9.427480916,2.992366412,-3.129770992,23.13
17:15.0,-2.588131995,8.243236316,3.339911316,-4.229007634,-17.41984733,-2.458015267,23.13
17:15.2,-2.48039292,7.580042456,2.700659473,1.534351145,4.595419847,15.29770992,23.15
17:15.3,-3.303998291,8.836998328,2.518700146,19.09160305,-25.74045802,13.59541985,23.13
17:15.4,-2.779668127,8.916006982,2.231395947,5.992366412,-20.30534351,-12.03053435,23.13
17:15.5,-3.153163586,9.294290845,1.553836877,2.694656489,3.65648855,-15.20610687,23.11
