Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
12:32.2,-2.042254016,7.943961108,3.397372156,5.715012723,1.043256997,5.193384224,23.98333333
12:32.2,-2.457248971,7.814674219,3.628013582,11.1043257,3.368956743,9.195928753,23.97666667
12:32.2,-2.901772412,7.798712874,3.816357446,15.06870229,3.554707379,10.53689567,23.97
12:32.3,-2.739764766,7.695762203,3.730166187,14.72773537,3.1043257,9.554707379,23.97
12:32.3,-2.948858378,7.583234725,3.587312154,15.29007634,7.702290076,8.071246819,23.97
12:32.3,-3.253720056,7.654262708,3.560975936,14.70992366,12.66412214,5.661577608,23.97
12:32.4,-3.345497786,7.82584716,3.718195178,10.17811705,19.41984733,1.961832061,23.96333333
12:32.4,-2.863465186,8.063671191,3.998316772,0.926208651,31.77608142,0.213740458,23.95666667
12:32.4,-2.38861519,8.472281608,4.097277108,-8.193384224,49.40458015,0.478371501,23.95
12:32.6,-2.539449894,9.147446476,3.911327445,-12.16284987,65.05852417,-0.918575064,23.95666667
12:32.6,-3.465207869,9.445125549,2.907358883,-15.20610687,72.15521628,-7.666666667,23.95666667
12:32.6,-4.094084839,8.825825387,1.825977799,-13.98473282,50.58524173,-14.15012723,23.95666667
12:32.7,-3.689464758,7.716511951,1.027910579,-10.22137405,8.114503817,-12.95928753,23.95
12:32.7,-2.457248971,7.178614644,1.117294108,1.89821883,-35.4605598,-0.526717557,23.95
12:32.9,-1.373473686,8.057286654,1.826775867,10.07633588,-38.19083969,14.84223919,23.95666667
12:32.9,-1.570596289,8.651048665,1.963245361,10.47328244,-27.09923664,17.76081425,23.95666667
12:32.9,-2.023100403,8.761181942,1.906582589,7.554707379,-12.94656489,13.30534351,23.95666667
12:33.0,-2.596910734,8.021373629,1.413377047,7.183206107,-20.61577608,8.951653944,23.96333333
12:33.0,-2.231395947,7.807491614,1.511539315,12.23155216,-24.49109415,15.45547074,23.97666667
